Year,Month,IR
2010,1,0.000919
2010,2,0.000608
2010,3,0.000281
2010,4,0.0001
2010,5,0.000025
2010,6,0.000011
2010,7,0.000011
2010,8,0.000011
2010,9,0.000011
2010,10,0.000014
2010,11,0.000074
2010,12,0.000337
2011,1,0.000658
2011,2,0.000762
2011,3,0.00042
2011,4,0.000101
2011,5,0.000029
2011,6,0.000012
2011,7,0.000009
2011,8,0.000015
2011,9,0.000028
2011,10,0.000032
2011,11,0.000109
2011,12,0.000387
2012,1,0.00069
2012,2,0.000583
2012,3,0.000315
2012,4,0.000135
2012,5,0.000048
2012,6,0.000029
2012,7,0.000017
2012,8,0.000021
2012,9,0.000032
2012,10,0.000077
2012,11,0.000305
2012,12,0.000792
2013,1,0.000676
2013,2,0.0005
2013,3,0.000235
2013,4,0.000103
2013,5,0.000046
2013,6,0.000024
2013,7,0.000012
2013,8,0.000013
2013,9,0.000056
2013,10,0.000103
2013,11,0.000354
2013,12,0.000641
2014,1,0.000553
2014,2,0.000362
2014,3,0.000186
2014,4,0.000089
2014,5,0.000029
2014,6,0.000012
2014,7,0.000011
2014,8,0.00001
2014,9,0.000022
2014,10,0.000058
2014,11,0.00015
2014,12,0.000437
2015,1,0.000712
2015,2,0.000736
2015,3,0.000285
2015,4,0.000103
2015,5,0.000035
2015,6,0.000024
2015,7,0.000013
2015,8,0.000013
2015,9,0.00002
2015,10,0.000043
2015,11,0.000183
2015,12,0.000496
2016,1,0.000703
2016,2,0.00065
2016,3,0.000322
2016,4,0.000122
2016,5,0.00006
2016,6,0.00003
2016,7,0.000019
2016,8,0.000023
2016,9,0.000048
2016,10,0.000105
2016,11,0.000395
2016,12,0.000833
2017,1,0.000788
2017,2,0.000539
2017,3,0.000225
2017,4,0.000094
2017,5,0.000051
2017,6,0.000024
2017,7,0.000019
2017,8,0.000026
2017,9,0.00009
2017,10,0.000204
2017,11,0.000697
2017,12,0.001016
2018,1,0.00089
2018,2,0.000611
2018,3,0.000272
2018,4,0.000142
2018,5,0.000059
2018,6,0.000032
2018,7,0.000022
2018,8,0.000038
2018,9,0.000074
2018,10,0.000228
2018,11,0.000661
2018,12,0.001087
2019,1,0.000839
2019,2,0.000564
2019,3,0.000305
2019,4,0.000122
2019,5,0.000066
2019,6,0.000039
2019,7,0.000031
2019,8,0.000045
2019,9,0.00009
2019,10,0.000326
2019,11,0.001143
2019,12,0.001574
2020,1,0.000991
2020,2,0.000533
2020,3,0.000235
2020,4,0.000019
2020,5,0.000008
2020,6,0.000005
2020,7,0.000005
2020,8,0.000005
2020,9,0.000004
2020,10,0.000007
2020,11,0.000011
2020,12,0.000017
2021,1,0.000018
2021,2,0.000008
2021,3,0.000023
2021,4,0.000051
2021,5,0.00017
2021,6,0.000524
2021,7,0.001049
2021,8,0.001146
2021,9,0.001036
2021,10,0.000811
2021,11,0.00066
2021,12,0.000447
2022,1,0.000185
2022,2,0.0001
2022,3,0.000089
2022,4,0.000125
2022,5,0.000273
2022,6,0.000503
2022,7,0.000442
2022,8,0.000482
2022,9,0.00082
2022,10,0.001972
2022,11,0.003077
2022,12,0.001492
2023,1,0.000576
